variable;variable_old;text;info
geschlecht;gender;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID9""}"
beziehungsstatus;marital status;Bitte geben Sie im Folgenden Ihren Familienstand an.;"{""ImportId"":""QID116""}"
alter;age;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID10_TEXT""}"
schulabschluss;education;Bitte geben Sie Ihren höchsten Schulabschluss an:;"{""ImportId"":""QID11""}"
taetigkeit;activity;Bitte geben Sie an, was Ihre derzeitige Tätigkeit am besten beschreibt.;"{""ImportId"":""QID37""}"
studium;Q21;Welche Art von Studium streben Sie an?;"{""ImportId"":""QID14""}"
arbeitsverhaeltnis;Q25;In welcher Art von Arbeitsverhältnis befinden Sie sich?;"{""ImportId"":""QID16""}"
arbeitserfahrung;Q27;sowohl studienbezogene, als auch Vollzeit-/Teilzeit Tätigkeiten;"{""ImportId"":""QID17""}"
if1;Q83_1;Bei der Arbeit und/oder im Studium: Wie oft ... - … sind Sie konsequent bei der Benennung von digitalen Dateien?;"{""ImportId"":""QID99_2""}"
if2;Q83_2;Bei der Arbeit und/oder im Studium: Wie oft ... - … organisieren Sie digitale Dateien anhand einer hierarchischen Ordnerstruktur?;"{""ImportId"":""QID99_3""}"
if3;Q83_3;Bei der Arbeit und/oder im Studium: Wie oft ... - ... prüfen Sie die Zuverlässigkeit der Information auf einer Website?;"{""ImportId"":""QID99_4""}"
if4;Q83_4;Bei der Arbeit und/oder im Studium: Wie oft ... - ... prüfen Sie die Informationen auf anderen Websites gegen?;"{""ImportId"":""QID99_6""}"
komf1;Q87_1;Bei der Arbeit und/oder im Studium, wie oft ... - … bekommen Sie gezielte Informationen aus dem Internet? (Recherchearbeit);"{""ImportId"":""QID101_1""}"
komf2;Q87_2;Bei der Arbeit und/oder im Studium, wie oft ... - ... verbinden Sie sich online mit Menschen aus Ihrem Fachbereich? (LinkedIn, Xing, Facebook, etc.);"{""ImportId"":""QID101_2""}"
komf3;Q87_3;Bei der Arbeit und/oder im Studium, wie oft ... - ... benutzen Sie Ihr Online-Netzwerk, um Vorteile daraus zu ziehen?;"{""ImportId"":""QID101_4""}"
komf4;Q87_4;Bei der Arbeit und/oder im Studium, wie oft ... - … veröffentlichen Sie neue Beiträge? (LinkedIn, Xing, Facebook, etc.);"{""ImportId"":""QID101_5""}"
kollf1;Q91_1;Bei der Arbeit und/oder im Studium, wie oft ... - … teilen Sie wichtige Informationen mit Ihrem Team über das Internet?;"{""ImportId"":""QID103_1""}"
kollf2;Q91_2;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft Ihnen das Internet, um Unterstützung von Kollegen/Kommilitonen zu bekommen?;"{""ImportId"":""QID103_3""}"
kollf3;Q91_3;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um Kollegen/Kommilitonen Feedback zu geben?;"{""ImportId"":""QID103_5""}"
kollf4;Q91_4;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft Ihnen das Internet, professionelle Expertise von anderen zu nutzen?;"{""ImportId"":""QID103_6""}"
fkd1;Q95_1;Bei der Arbeit und/oder im Studium, wie oft ... - … sind Sie in der Lage die Diskussion in eine neue Richtung zu lenken?;"{""ImportId"":""QID105_1""}"
fkd2;Q95_2;Bei der Arbeit und/oder im Studium, wie oft ... - … stellen Sie Fragen, um die Standpunkte anderer zu verstehen?;"{""ImportId"":""QID105_2""}"
fkd3;Q95_3;Bei der Arbeit und/oder im Studium, wie oft ... - … filtern Sie die wichtigsten Punkte aus der Diskussion?;"{""ImportId"":""QID105_4""}"
fkd4;Q95_4;Bei der Arbeit und/oder im Studium, wie oft ... - … sind Sie offen für Ideen, die einige Ihrer Überzeugungen herausfordern?;"{""ImportId"":""QID105_6""}"
fks1;Q99_1;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um innovative Ideen für Ihre Arbeit/ Ihr Studium zu generieren?;"{""ImportId"":""QID107_1""}"
fks2;Q99_2;Bei der Arbeit und/oder im Studium, wie oft ... - … gestalten Sie Aufgaben mithilfe des Internets origineller?;"{""ImportId"":""QID107_2""}"
fks3;Q99_3;Bei der Arbeit und/oder im Studium, wie oft ... - … nutzen Sie das Internet, um Ihre Aufgaben kreativ auszuführen?;"{""ImportId"":""QID107_3""}"
fks4;Q99_4;Bei der Arbeit und/oder im Studium, wie oft ... - … folgen Sie Trends aus dem Internet, um originelle Ideen zu generieren?;"{""ImportId"":""QID107_4""}"
pf1;Q103_1;Bei der Arbeit und/oder im Studium, wie oft ... - … finden Sie die Lösung im Internet, auch wenn die Lösung nicht sofort sichtbar ist?;"{""ImportId"":""QID109_3""}"
pf2;Q103_2;Bei der Arbeit und/oder im Studium, wie oft ... - … hilft das Internet Ihnen ein Problem bestmöglich zu lösen?;"{""ImportId"":""QID109_4""}"
pf3;Q103_3;Bei der Arbeit und/oder im Studium, wie oft ... - … erfüllt das Ergebnis, dass sie im Internet erhalten, ihre Erwartungen?;"{""ImportId"":""QID109_5""}"
pf4;Q103_4;Bei der Arbeit und/oder im Studium, wie oft ... - … treffen Sie eine Entscheidung mithilfe des Internets, mit der Sie rückblickend zufrieden sind?;"{""ImportId"":""QID109_6""}"
ict1;Q107_1;Bei der Arbeit und/oder im Studium, wie oft ... - … nehmen Sie an Diskussionen über Internet Anwendungen teil?;"{""ImportId"":""QID111_1""}"
ict2;Q107_2;Bei der Arbeit und/oder im Studium, wie oft ... - … reagieren Sie zögerlich gegenüber neuen Internet Anwendungen?;"{""ImportId"":""QID111_2""}"
ict3;Q107_3;Bei der Arbeit und/oder im Studium, wie oft ... - … können Sie sich in kurzer Zeit neue Technologien aneignen?;"{""ImportId"":""QID111_3""}"